Model,Metric,Bootstrap_Mean,Bootstrap_SD,Bootstrap_Median,CI_2_5,CI_97_5,Point_Estimate,Bootstrap_Bias
Decision_Tree,Macro_F1,0.8921825625824401,0.02119916518150563,0.8932896890343699,0.8485693050910442,0.9320604690681158,0.8932896890343699,-0.0011071264519297852
Decision_Tree,Macro_Sensitivity,0.9008052325581396,0.022270784641390155,0.9018733850129199,0.8547803617571059,0.9412290051679587,0.9018733850129199,-0.0010681524547803134
Decision_Tree,Macro_Specificity,0.9517292591496498,0.010030931490235899,0.9522376771562922,0.9315576600572162,0.9698464371444544,0.9522376771562922,-0.0005084180066423638
Decision_Tree,Weighted_F1,0.9088639784821719,0.018116913642851718,0.909840693544122,0.872847945124184,0.943438934458334,0.909840693544122,-0.000976715061950073
LightGBM,Accuracy,0.9161528384279476,0.018056489596540222,0.9170305676855895,0.8820960698689956,0.9519650655021834,0.9170305676855895,-0.0008777292576419571
LightGBM,Class0_Sensitivity,0.9069166666666666,0.02617112881667686,0.9083333333333333,0.85,0.95,0.9083333333333333,-0.0014166666666667327
LightGBM,Class0_Specificity,0.9263211009174311,0.024093594568097242,0.926605504587156,0.8715596330275229,0.9724770642201835,0.926605504587156,-0.0002844036697248198
LightGBM,Class1_AUC,0.9704459864966242,0.01065712416880164,0.971617904476119,0.9464834958739685,0.9881220305076268,0.9707426856714179,-0.0002966991747936909
LightGBM,Class1_F1,0.7845026812491547,0.046111528571427515,0.7865168539325843,0.6904761904761905,0.8695907928388746,0.7865168539325843,-0.002014172683429627
LightGBM,Class1_NPV,0.9562601559959447,0.013702422500240502,0.9565217391304348,0.9259160756501182,0.9827586206896551,0.9562841530054644,-2.3997009519716173e-05
LightGBM,Class1_PPV,0.7605684043936395,0.054013195553312965,0.76,0.658992946708464,0.8684496567505721,0.7608695652173914,-0.00030116082375186704
LightGBM,Class1_Sensitivity,0.8132325581395349,0.06107446064936282,0.813953488372093,0.6744186046511628,0.9302325581395349,0.813953488372093,-0.0007209302325581479
LightGBM,Class1_Specificity,0.9399462365591398,0.016884599236565753,0.9408602150537635,0.9032258064516129,0.967741935483871,0.9408602150537635,-0.0009139784946237128
LightGBM,Class2_Sensitivity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
LightGBM,Class2_Specificity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
LightGBM,Kappa,0.8629629248317418,0.029334661977150935,0.864315339757383,0.8043663977218795,0.9195423235756706,0.864315339757383,-0.0013524149256411988
LightGBM,Macro_AUC,0.9841248854071316,0.005724537798929689,0.984754388138319,0.9712532906735858,0.9936196778552436,0.9842842591381791,-0.000159373731047463
LightGBM,Macro_F1,0.9011201834377687,0.021087663044975443,0.9021160258537587,0.8586646847516413,0.9394832380002334,0.9021160258537587,-0.0009958424159900447
LightGBM,Macro_Sensitivity,0.9067164082687339,0.022312135254772495,0.9074289405684755,0.8581395348837209,0.9445994832041343,0.9074289405684755,-0.0007125322997415529
LightGBM,Macro_Specificity,0.9554224458255237,0.009900912506824738,0.9558219065469732,0.9356733583242905,0.9726908026700865,0.9558219065469732,-0.00039946072144947387
LightGBM,Weighted_F1,0.9170155440236324,0.017752209969701414,0.9179038059150401,0.8814240830028636,0.9505492067629812,0.9179038059150401,-0.0008882618914076712
MLP,Accuracy,0.9203624454148471,0.016992440230288855,0.9213973799126638,0.8864628820960698,0.9519650655021834,0.9213973799126638,-0.0010349344978166641
MLP,Class0_Sensitivity,0.8727333333333334,0.028821743790710487,0.875,0.8166666666666667,0.925,0.875,-0.002266666666666639
MLP,Class0_Specificity,0.9727981651376146,0.015796715241407737,0.9724770642201835,0.9357798165137615,1.0,0.9724770642201835,0.00032110091743109415
MLP,Class1_AUC,0.9536504126031509,0.016488198062808417,0.9549262315578895,0.9150912728182045,0.9817485621405352,0.9542385596399099,-0.0005881470367590236
MLP,Class1_F1,0.8151346254040289,0.03584898009112213,0.8163265306122449,0.7422113402061856,0.8842105263157894,0.8163265306122449,-0.001191905208215993
MLP,Class1_NPV,0.9830159451983971,0.009730876195737967,0.9829545454545454,0.9608883623124725,1.0,0.9827586206896551,0.0002573245087419407
MLP,Class1_PPV,0.7264234517606705,0.04664710622345625,0.7241379310344828,0.639344262295082,0.8235933503836316,0.7272727272727273,-0.0008492755120568241
MLP,Class1_Sensitivity,0.931046511627907,0.04004283630961508,0.9302325581395349,0.8372093023255814,1.0,0.9302325581395349,0.0008139534883720989
MLP,Class1_Specificity,0.9178924731182796,0.018594673413361625,0.9193548387096774,0.8817204301075269,0.9516129032258065,0.9193548387096774,-0.001462365591397785
MLP,Class2_Sensitivity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
MLP,Class2_Specificity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
MLP,Kappa,0.8727480081123897,0.026511777012121374,0.8741758241758242,0.8199257152437442,0.9225614067447508,0.8741758241758242,-0.0014278160634344506
MLP,Macro_AUC,0.9765267940073703,0.008460419220392318,0.9771737945954377,0.9573190105630384,0.9908269718423489,0.9768206004100414,-0.0002938064026710707
MLP,Macro_F1,0.9116143913046794,0.017822604258986876,0.9124597207303974,0.8761994374944329,0.9455304928989139,0.9124597207303974,-0.0008453294257180222
MLP,Macro_Sensitivity,0.9345932816537468,0.016585930415048165,0.9356589147286822,0.8979328165374677,0.9639034237726098,0.935077519379845,-0.00048423772609818005
MLP,Macro_Specificity,0.963563546085298,0.008205116272740487,0.9639439676432869,0.9463220545197463,0.97902074907106,0.9639439676432869,-0.000380421557988897
