Bootstrap,Model,Metric,Value
5,Softmax_LR,Class1_NPV,0.9884393063583815
5,SVM,Accuracy,0.9213973799126638
5,SVM,Kappa,0.8735505245720596
5,SVM,Macro_AUC,0.988765750306078
5,SVM,Macro_F1,0.9093785505745638
5,SVM,Weighted_F1,0.9247814380051901
5,SVM,Macro_Sensitivity,0.9282593375616631
5,SVM,Macro_Specificity,0.9639439676432869
5,SVM,Class0_Sensitivity,0.9
5,SVM,Class0_Specificity,0.9724770642201835
5,SVM,Class1_Sensitivity,0.9302325581395349
5,SVM,Class1_Specificity,0.9193548387096774
5,SVM,Class2_Sensitivity,0.9545454545454546
5,SVM,Class2_Specificity,1.0
5,SVM,Class1_AUC,0.9779944986246562
5,SVM,Class1_F1,0.8163265306122449
5,SVM,Class1_PPV,0.7272727272727273
5,SVM,Class1_NPV,0.9827586206896551
5,Decision_Tree,Accuracy,0.925764192139738
5,Decision_Tree,Kappa,0.8785979355723953
5,Decision_Tree,Macro_AUC,0.9669566474187355
5,Decision_Tree,Macro_F1,0.9124196020796789
5,Decision_Tree,Weighted_F1,0.926545510555562
5,Decision_Tree,Macro_Sensitivity,0.9179586563307494
5,Decision_Tree,Macro_Specificity,0.9606721252178488
5,Decision_Tree,Class0_Sensitivity,0.9166666666666666
5,Decision_Tree,Class0_Specificity,0.9357798165137615
5,Decision_Tree,Class1_Sensitivity,0.8372093023255814
5,Decision_Tree,Class1_Specificity,0.946236559139785
5,Decision_Tree,Class2_Sensitivity,1.0
5,Decision_Tree,Class2_Specificity,1.0
5,Decision_Tree,Class1_AUC,0.9384846211552889
5,Decision_Tree,Class1_F1,0.8089887640449438
5,Decision_Tree,Class1_PPV,0.782608695652174
5,Decision_Tree,Class1_NPV,0.9617486338797814
5,Random_Forest,Accuracy,0.9213973799126638
5,Random_Forest,Kappa,0.8723759985138398
5,Random_Forest,Macro_AUC,0.9833742648200277
5,Random_Forest,Macro_F1,0.9091415830546264
5,Random_Forest,Weighted_F1,0.9229527829299996
5,Random_Forest,Macro_Sensitivity,0.92015503875969
5,Random_Forest,Macro_Specificity,0.960145999802703
5,Random_Forest,Class0_Sensitivity,0.9
5,Random_Forest,Class0_Specificity,0.944954128440367
5,Random_Forest,Class1_Sensitivity,0.8604651162790697
5,Random_Forest,Class1_Specificity,0.9354838709677419
5,Random_Forest,Class2_Sensitivity,1.0
5,Random_Forest,Class2_Specificity,1.0
5,Random_Forest,Class1_AUC,0.9682420605151288
5,Random_Forest,Class1_F1,0.8043478260869565
5,Random_Forest,Class1_PPV,0.7551020408163265
5,Random_Forest,Class1_NPV,0.9666666666666667
5,XGBoost,Accuracy,0.9301310043668122
5,XGBoost,Kappa,0.8865564431234132
5,XGBoost,Macro_AUC,0.9885825814251729
5,XGBoost,Macro_F1,0.9192369627152236
5,XGBoost,Weighted_F1,0.9315135848266662
5,XGBoost,Macro_Sensitivity,0.9306847545219639
5,XGBoost,Macro_Specificity,0.9649962184735786
5,XGBoost,Class0_Sensitivity,0.9083333333333333
5,XGBoost,Class0_Specificity,0.9541284403669725
5,XGBoost,Class1_Sensitivity,0.8837209302325582
5,XGBoost,Class1_Specificity,0.9408602150537635
5,XGBoost,Class2_Sensitivity,1.0
5,XGBoost,Class2_Specificity,1.0
5,XGBoost,Class1_AUC,0.9787446861715429
5,XGBoost,Class1_F1,0.8260869565217391
